"year","id","hrs1","marital","childs","income","happy","ballot"
2000,122,"Not applicable","Divorced","5","$5000 to 5999","Very happy","Ballot c"
2000,123,"Not applicable","Married","3","$10000 - 14999","Not too happy","Ballot a"
2000,124,"50","Divorced","2","$25000 or more","Pretty happy","Ballot c"
2000,125,"Not applicable","Never married","2","$15000 - 19999","Very happy","Ballot a"
2000,126,"40","Divorced","3","$20000 - 24999","Pretty happy","Ballot a"
2000,127,"40","Divorced","3","Refused","Not too happy","Ballot a"
2000,128,"45","Married","0","Refused","Very happy","Ballot b"
2000,129,"Not applicable","Never married","2","Lt $1000","No answer","Ballot b"
2000,130,"Not applicable","Never married","0","$8000 to 9999","Pretty happy","Ballot c"
2000,131,"21","Never married","0","$3000 to 3999","Very happy","Ballot c"
2000,132,"55","Married","0","$25000 or more","Very happy","Ballot c"
2000,133,"45","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,134,"32","Divorced","2","$10000 - 14999","Not too happy","Ballot a"
2000,135,"Not applicable","Widowed","3","$25000 or more","Pretty happy","Ballot c"
2000,136,"40","Never married","0","$20000 - 24999","No answer","Ballot b"
2000,137,"Not applicable","Widowed","0","$4000 to 4999","Pretty happy","Ballot a"
2000,138,"Not applicable","Divorced","7","$7000 to 7999","Not too happy","Ballot b"
2000,139,"Not applicable","Separated","3","$10000 - 14999","Pretty happy","Ballot b"
2000,140,"Not applicable","Widowed","6","$15000 - 19999","Not too happy","Ballot c"
2000,141,"Not applicable","Never married","0","Lt $1000","No answer","Ballot b"
2000,142,"Not applicable","Widowed","1","$10000 - 14999","Pretty happy","Ballot b"
2000,143,"Not applicable","Widowed","1","$6000 to 6999","Pretty happy","Ballot a"
2000,144,"Not applicable","Widowed","6","$6000 to 6999","Very happy","Ballot c"
2000,145,"Not applicable","Widowed","1","$6000 to 6999","Pretty happy","Ballot a"
2000,146,"46","Never married","4","$25000 or more","Pretty happy","Ballot c"
2000,147,"40","Never married","4","$1000 to 2999","Not too happy","Ballot c"
2000,148,"40","Never married","5","$8000 to 9999","Pretty happy","Ballot a"
2000,149,"48","Never married","1","$25000 or more","Pretty happy","Ballot c"
2000,150,"Not applicable","Never married","0","$8000 to 9999","Very happy","Ballot b"
2000,151,"50","Never married","4","$25000 or more","No answer","Ballot b"
2000,152,"Not applicable","Never married","4","Don't know","Very happy","Ballot a"
2000,153,"35","Married","2","Refused","Pretty happy","Ballot a"
2000,154,"40","Married","1","$25000 or more","Very happy","Ballot c"
2000,155,"40","Separated","1","$25000 or more","Very happy","Ballot b"
2000,156,"42","Never married","1","$25000 or more","Pretty happy","Ballot a"
2000,157,"Not applicable","Widowed","2","$25000 or more","Very happy","Ballot c"
2000,158,"40","Widowed","2","$25000 or more","Pretty happy","Ballot c"
2000,159,"40","Married","6","$25000 or more","Very happy","Ballot b"
2000,160,"40","Married","3","$25000 or more","Pretty happy","Ballot b"
2000,161,"Not applicable","Married","5","$25000 or more","Pretty happy","Ballot a"
2000,162,"40","Married","3","$25000 or more","Very happy","Ballot c"
2000,163,"20","Married","7","$15000 - 19999","Pretty happy","Ballot c"
2000,164,"40","Never married","0","$25000 or more","Very happy","Ballot c"
2000,165,"24","Married","1","Refused","Pretty happy","Ballot b"
2000,166,"38","Divorced","3","$25000 or more","Pretty happy","Ballot b"
2000,167,"20","Never married","0","Don't know","Pretty happy","Ballot c"
2000,168,"Not applicable","Married","2","$25000 or more","Very happy","Ballot c"
2000,169,"40","Married","2","$25000 or more","Pretty happy","Ballot a"
2000,170,"50","Married","1","Refused","Very happy","Ballot b"
2000,171,"45","Never married","0","$25000 or more","Pretty happy","Ballot a"
2000,172,"45","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,173,"40","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,174,"Not applicable","Married","4","$25000 or more","Pretty happy","Ballot a"
2000,175,"40","Married","2","$25000 or more","Very happy","Ballot c"
2000,176,"Not applicable","Married","7","$25000 or more","Pretty happy","Ballot a"
2000,177,"40","Married","2","$25000 or more","Pretty happy","Ballot c"
2000,178,"Not applicable","Married","2","Refused","Very happy","Ballot b"
2000,179,"40","Married","1","Refused","Very happy","Ballot a"
2000,180,"Not applicable","Married","2","Refused","Not too happy","Ballot c"
2000,181,"42","Married","2","Refused","Very happy","Ballot a"
2000,182,"Not applicable","Widowed","1","Refused","Pretty happy","Ballot a"
2000,183,"49","Widowed","1","$25000 or more","Very happy","Ballot b"
2000,184,"45","Married","Dk na","No answer","Pretty happy","Ballot b"
2000,185,"40","Married","2","$25000 or more","Very happy","Ballot a"
2000,186,"40","Married","2","$25000 or more","Very happy","Ballot a"
2000,187,"48","Divorced","2","$25000 or more","Pretty happy","Ballot c"
2000,188,"60","Married","1","$25000 or more","Pretty happy","Ballot b"
2000,189,"70","Married","2","$1000 to 2999","Very happy","Ballot b"
